Commercial Reference,Associated Breaker Label,Device Label,Breaker Reference,Rated voltage,Rated current,Phase sequence,Power supply/Current direction,System type,Trip curve type,Load Name,Usage,Zone,PF Sign,Over load threshold,Over voltage threshold,Earth leakage tripping,Load works,Modbus address,Asset Name,Equipment,Sensor position,Measured point,Cubicle type,Cubicle ID,Drawyer ID
A9MEM1520,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1521,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1522,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1540,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1541,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1542,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1543,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1560,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1561,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1562,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1563,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1564,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1570,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1571,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1572,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1573,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1574,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1580,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1590,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1591,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1592,,,,,,,,,,,,,,,,,,,,,,,,,
A9MEM1593,,,,,,,,,,,,,,,,,,,,,,,,,
A9TAA2225,,,,,,,,,,,,,,,,,,,,,,,,,
A9TAA2240,,,,,,,,,,,,,,,,,,,,,,,,,
A9TAA2625,,,,,,,,,,,,,,,,,,,,,,,,,
A9TAA2640,,,,,,,,,,,,,,,,,,,,,,,,,
A9TAB2225,,,,,,,,,,,,,,,,,,,,,,,,,
A9TAB2240,,,,,,,,,,,,,,,,,,,,,,,,,
A9TAB2625,,,,,,,,,,,,,,,,,,,,,,,,,
A9TAB2640,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDEC610,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDEC613,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDEC616,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFC606,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFC610,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFC613,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFC616,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFC625,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFC632,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFC640,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFD606,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFD610,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFD616,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFD620,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFD625,,,,,,,,,,,,,,,,,,,,,,,,,
A9TDFD632,,,,,,,,,,,,,,,,,,,,,,,,,
A9TPDD610,,,,,,,,,,,,,,,,,,,,,,,,,
A9TPDD613,,,,,,,,,,,,,,,,,,,,,,,,,
A9TPDD616,,,,,,,,,,,,,,,,,,,,,,,,,
A9TPED610,,,,,,,,,,,,,,,,,,,,,,,,,
A9TPED613,,,,,,,,,,,,,,,,,,,,,,,,,
A9TPED616,,,,,,,,,,,,,,,,,,,,,,,,,
A9TPED625,,,,,,,,,,,,,,,,,,,,,,,,,
A9TPED632,,,,,,,,,,,,,,,,,,,,,,,,,
A9TPED640,,,,,,,,,,,,,,,,,,,,,,,,,
A9TYAE225,,,,,,,,,,,,,,,,,,,,,,,,,
A9TYAE240,,,,,,,,,,,,,,,,,,,,,,,,,
A9TYAE625,,,,,,,,,,,,,,,,,,,,,,,,,
A9TYAE640,,,,,,,,,,,,,,,,,,,,,,,,,
A9TYBE225,,,,,,,,,,,,,,,,,,,,,,,,,
A9TYBE240,,,,,,,,,,,,,,,,,,,,,,,,,
A9TYBE625,,,,,,,,,,,,,,,,,,,,,,,,,
A9TYBE640,,,,,,,,,,,,,,,,,,,,,,,,,
A9V6E225,,,,,,,,,,,,,,,,,,,,,,,,,
A9V6E240,,,,,,,,,,,,,,,,,,,,,,,,,
A9V8E225,,,,,,,,,,,,,,,,,,,,,,,,,
A9V8E240,,,,,,,,,,,,,,,,,,,,,,,,,
A9XST114,,,,,,,,,,,,,,,,,,,,,,,,,
A9Y6E625,,,,,,,,,,,,,,,,,,,,,,,,,
A9Y6E640,,,,,,,,,,,,,,,,,,,,,,,,,
A9Y8E625,,,,,,,,,,,,,,,,,,,,,,,,,
A9Y8E640,,,,,,,,,,,,,,,,,,,,,,,,,
EMS59440,,,,,,,,,,,,,,,,,,,,,,,,,
EMS59443,,,,,,,,,,,,,,,,,,,,,,,,,
ESST010B0400,,,,,,,,,,,,,,,,,,,,,,,,,
LV429453,,,,,,,,,,,,,,,,,,,,,,,,,
LV429454,,,,,,,,,,,,,,,,,,,,,,,,,
LV434020,,,,,,,,,,,,,,,,,,,,,,,,,
LV434021,,,,,,,,,,,,,,,,,,,,,,,,,
LV434022,,,,,,,,,,,,,,,,,,,,,,,,,
LV434023,,,,,,,,,,,,,,,,,,,,,,,,,
PLTE601P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTE602P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTE603P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTQO301P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTQO302P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTQO303P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTQO601P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTQO602P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTQO603P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTR10003P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTR1203P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTR20003P,,,,,,,,,,,,,,,,,,,,,,,,,
PLTR6003P,,,,,,,,,,,,,,,,,,,,,,,,,
SMT10020,,,,,,,,,,,,,,,,,,,,,,,,,
